Name,Date,Tags
Note,"September 22, 2025",Note
,,
,,
,,
InfoSec,,
Inspite of our claims of programming for users,,
The Ying and Yang of AI and software,,
"It is the structure, stupid!",,
AI will make everything more semantic,,
Attentions is all you need,"August 5, 2025",Idea
Rule o fThree and Premature abstraction,,
Narrow the scope,,
GenericAgent,,
Key risks,,
Agent tools,,
How software will be different,"July 11, 2025",Reminder
Andrej Karpathy: Software is Changing again,,
Example of API Graph,"July 7, 2025",Note
Pretrained Transformers as Universal Computation Engines,,
Note,"June 30, 2025",Note
Idea,"June 23, 2025",Idea
My version.,"June 20, 2025",Idea
Idea Chat GPT version,"June 20, 2025",Idea
DeepSeek hosting v2,"June 13, 2025",Idea
Idea,"June 13, 2025",Idea
Why should one host his own LLM model,"June 13, 2025",Idea
What should one host his own LLM model after AthenaHealth edit,"June 13, 2025",Idea
DeepSeek hosting,"June 13, 2025",Idea
deep seek on software with/out AI,"June 12, 2025",Idea
"ChatGPT version ","June 12, 2025",Idea
DeepSeek version,"June 12, 2025",Idea
"Google version ","June 12, 2025",Idea
marathon training,"May 28, 2024",Idea
Book Recommendation,"May 26, 2024",Note
Grocery Shopping,"May 25, 2024",Reminder
,,
No open weight LLM Medical Model,,
,,
,,
,,
Shanghai eats,,
"Regulation Requirements ",,
Once upon a time in the west,,
接桃记：许家坝一棵毛桃树的变化,,
"跑意，跑翅一团茅草乱蓬蓬，蓦地烧天蓦地空。
争似满炉煨榾柮，﻿慢腾腾地暖烘烘。",,
Sample audio,,
Prompt for first nlp,,
First NLP.py,,
,,
WorkTodos,,
Idea,"September 5, 2025",Idea
,,
Note,"September 19, 2025",Note
Are concepts are formed in LLMs?,,
Note,"September 24, 2025",Note
"Summary of coughing condition ",,
"Grok recommendations ",,
Ferritin doctor note,,
