Date,Ran today,Meditated,Practiced guitar
"@December 20, 2024 ",No,No,No
"@December 21, 2024 ",No,No,No
"@December 27, 2024 ",No,No,No
"@December 19, 2024 ",No,No,No
"@December 22, 2024 ",No,No,No
"@December 26, 2024 ",No,No,No
"@December 25, 2024 ",No,No,No
"@December 17, 2024 ",No,No,No
"@December 16, 2024 ",No,No,No
"@December 18, 2024 ",No,No,No
"@December 24, 2024 ",No,No,No
"@December 23, 2024 ",No,No,No
"@January 4, 2025 ",No,No,No
"@January 2, 2025 ",No,No,No
"@December 28, 2024 ",No,No,No
"@January 12, 2025 ",No,No,No
"@January 10, 2025 ",No,No,No
"@January 5, 2025 ",No,No,No
"@January 1, 2025 ",No,No,No
"@December 29, 2024 ",No,No,No
"@January 3, 2025 ",No,No,No
"@January 13, 2025 ",No,No,No
"@December 31, 2024 ",No,No,No
"@January 9, 2025 ",No,No,No
"@January 11, 2025 ",No,No,No
"@January 8, 2025 ",No,No,No
"@January 7, 2025 ",No,No,No
"@January 6, 2025 ",No,No,No
"@December 30, 2024 ",No,No,No
"@January 16, 2025 ",No,No,No
"@February 4, 2025 ",No,No,No
"@January 20, 2025 ",No,No,No
"@January 18, 2025 ",No,No,No
"@January 30, 2025 ",No,No,No
"@January 31, 2025 ",No,No,No
"@January 17, 2025 ",No,No,No
"@February 1, 2025 ",No,No,No
"@January 28, 2025 ",No,No,No
"@February 2, 2025 ",No,No,No
"@January 15, 2025 ",No,No,No
"@February 3, 2025 ",No,No,No
"@January 23, 2025 ",No,No,No
"@January 29, 2025 ",No,No,No
"@January 22, 2025 ",No,No,No
"@January 24, 2025 ",No,No,No
"@January 14, 2025 ",No,No,No
"@January 27, 2025 ",No,No,No
"@January 21, 2025 ",No,No,No
"@January 19, 2025 ",No,No,No
"@January 25, 2025 ",No,No,No
"@January 26, 2025 ",No,No,No
"@February 22, 2025 ",No,No,No
"@February 23, 2025 ",No,No,No
"@February 16, 2025 ",No,No,No
"@February 19, 2025 ",No,No,No
"@February 13, 2025 ",No,No,No
"@February 18, 2025 ",No,No,No
"@February 9, 2025 ",No,No,No
"@February 5, 2025 ",No,No,No
"@February 6, 2025 ",No,No,No
"@February 7, 2025 ",No,No,No
"@February 8, 2025 ",No,No,No
"@February 17, 2025 ",No,No,No
"@February 24, 2025 ",No,No,No
"@February 20, 2025 ",No,No,No
"@February 10, 2025 ",No,No,No
"@February 11, 2025 ",No,No,No
"@February 14, 2025 ",No,No,No
"@February 12, 2025 ",No,No,No
"@February 15, 2025 ",No,No,No
"@February 21, 2025 ",No,No,No
"@March 5, 2025 ",No,No,No
"@March 12, 2025 ",No,No,No
"@March 1, 2025 ",No,No,No
"@March 13, 2025 ",No,No,No
"@March 8, 2025 ",No,No,No
"@February 27, 2025 ",No,No,No
"@February 26, 2025 ",No,No,No
"@March 10, 2025 ",No,No,No
