Name,Date,Tags
Grocery Shopping,"May 25, 2024",Reminder
Book Recommendation,"May 26, 2024",Note
marathon training,"May 28, 2024",Idea
"Google version ","June 12, 2025",Idea
DeepSeek version,"June 12, 2025",Idea
"ChatGPT version ","June 12, 2025",Idea
deep seek on software with/out AI,"June 12, 2025",Idea
Idea,"June 13, 2025",Idea
Why should one host his own LLM model,"June 13, 2025",Idea
What should one host his own LLM model after AthenaHealth edit,"June 13, 2025",Idea
DeepSeek hosting,"June 13, 2025",Idea
DeepSeek hosting v2,"June 13, 2025",Idea
Idea Chat GPT version,"June 20, 2025",Idea
My version.,"June 20, 2025",Idea
Idea,"June 23, 2025",Idea
,,
,,
,,
No open weight LLM Medical Model,,
,,
Note,"June 30, 2025",Note
Pretrained Transformers as Universal Computation Engines,,
Shanghai eats,,
Example of API Graph,"July 7, 2025",Note
Andrej Karpathy: Software is Changing again,,
How software will be different,"July 11, 2025",Reminder
"Regulation Requirements ",,
Agent tools,,
接桃记：许家坝一棵毛桃树的变化,,
Once upon a time in the west,,
Key risks,,
GenericAgent,,
Narrow the scope,,
Rule o fThree and Premature abstraction,,
Attentions is all you need,"August 5, 2025",Idea
AI will make everything more semantic,,
"It is the structure, stupid!",,
The Ying and Yang of AI and software,,
Inspite of our claims of programming for users,,
,,
First NLP.py,,
Prompt for first nlp,,
Sample audio,,
"跑意，跑翅一团茅草乱蓬蓬，蓦地烧天蓦地空。
争似满炉煨榾柮，﻿慢腾腾地暖烘烘。",,
InfoSec,,
WorkTodos,,
,,
Idea,"September 5, 2025",Idea
,,
Note,"September 19, 2025",Note
,,
,,
Are concepts are formed in LLMs?,,
Note,"September 22, 2025",Note
Note,"September 24, 2025",Note
"Summary of coughing condition ",,
"Grok recommendations ",,
Ferritin doctor note,,
